v_supply	V(v_batteries)	V(vout_batt)	V(n001)	V(n002)	I(C1)	I(C2)	I(C_adc)	I(R1)	I(R2)	I(R_adc)	I(V1)	Ix(U1:In+)	Ix(U1:In-)	Ix(U1:OUT)	Ix(U1:V+)	Ix(U1:V-)
7.219999999999991e+00	7.220000e+00	4.396160e-01	5.715008e+00	4.396160e-01	-7.220000e-17	7.220000e-19	4.396160e-20	-4.396160e-05	-4.396160e-05	-4.385381e-20	-2.404149e-04	8.097356e-12	-3.944827e-08	-4.392214e-05	2.404149e-04	-2.480686e-04
7.319999999999991e+00	7.320000e+00	4.473077e-01	5.815001e+00	4.473077e-01	-7.320000e-17	7.320000e-19	4.473077e-20	-4.473077e-05	-4.473077e-05	-4.496403e-20	-2.437165e-04	8.197378e-12	-3.943817e-08	-4.469132e-05	2.437165e-04	-2.513653e-04
7.419999999999990e+00	7.420000e+00	4.549994e-01	5.914993e+00	4.549994e-01	-7.420000e-17	7.420000e-19	4.549995e-20	-4.549995e-05	-4.549995e-05	-4.551914e-20	-2.470180e-04	8.297398e-12	-3.942807e-08	-4.546050e-05	2.470180e-04	-2.546620e-04
7.519999999999990e+00	7.520000e+00	4.626912e-01	6.014985e+00	4.626912e-01	-7.520000e-17	7.520000e-19	4.626912e-20	-4.626912e-05	-4.626912e-05	-4.607425e-20	-2.503196e-04	8.397420e-12	-3.941798e-08	-4.622968e-05	2.503196e-04	-2.579588e-04
7.619999999999989e+00	7.620000e+00	4.703829e-01	6.114977e+00	4.703829e-01	-7.620000e-17	7.620000e-19	4.703829e-20	-4.703829e-05	-4.703829e-05	-4.718448e-20	-2.536211e-04	8.497441e-12	-3.940788e-08	-4.699886e-05	2.536211e-04	-2.612555e-04
7.719999999999989e+00	7.720000e+00	4.780746e-01	6.214970e+00	4.780746e-01	-7.720000e-17	7.720000e-19	4.780746e-20	-4.780746e-05	-4.780746e-05	-4.773959e-20	-2.569227e-04	8.597462e-12	-3.939779e-08	-4.776804e-05	2.569227e-04	-2.645523e-04
7.819999999999989e+00	7.820000e+00	4.857663e-01	6.314962e+00	4.857663e-01	-7.820000e-17	7.820000e-19	4.857663e-20	-4.857663e-05	-4.857663e-05	-4.829470e-20	-2.602243e-04	8.697484e-12	-3.938769e-08	-4.853723e-05	2.602243e-04	-2.678490e-04
7.919999999999988e+00	7.920000e+00	4.934580e-01	6.414955e+00	4.934580e-01	-7.920000e-17	7.920000e-19	4.934580e-20	-4.934580e-05	-4.934580e-05	-4.940493e-20	-2.635258e-04	8.797504e-12	-3.937760e-08	-4.930641e-05	2.635258e-04	-2.711457e-04
8.019999999999989e+00	8.020000e+00	5.011498e-01	6.514947e+00	5.011498e-01	-8.020000e-17	8.020000e-19	5.011498e-20	-5.011497e-05	-5.011497e-05	-4.996004e-20	-2.668274e-04	8.897526e-12	-3.936750e-08	-5.007559e-05	2.668274e-04	-2.744425e-04
8.119999999999989e+00	8.120000e+00	5.088415e-01	6.614939e+00	5.088415e-01	-8.120000e-17	8.120000e-19	5.088415e-20	-5.088415e-05	-5.088415e-05	-5.107026e-20	-2.701289e-04	8.997547e-12	-3.935740e-08	-5.084477e-05	2.701289e-04	-2.777393e-04
8.219999999999988e+00	8.220000e+00	5.165332e-01	6.714931e+00	5.165332e-01	-8.220000e-17	8.220000e-19	5.165332e-20	-5.165332e-05	-5.165332e-05	-5.107026e-20	-2.734305e-04	9.097568e-12	-3.934731e-08	-5.161395e-05	2.734305e-04	-2.810360e-04
8.319999999999988e+00	8.320000e+00	5.242249e-01	6.814924e+00	5.242249e-01	-8.320000e-17	8.320000e-19	5.242249e-20	-5.242249e-05	-5.242249e-05	-5.218048e-20	-2.767321e-04	9.197590e-12	-3.933721e-08	-5.238313e-05	2.767321e-04	-2.843327e-04
8.419999999999987e+00	8.420000e+00	5.319166e-01	6.914916e+00	5.319166e-01	-8.420000e-17	8.420000e-19	5.319166e-20	-5.319166e-05	-5.319166e-05	-5.329070e-20	-2.800336e-04	9.297610e-12	-3.932712e-08	-5.315231e-05	2.800336e-04	-2.876295e-04
8.519999999999987e+00	8.520000e+00	5.396084e-01	7.014908e+00	5.396084e-01	-8.520000e-17	8.520000e-19	5.396083e-20	-5.396083e-05	-5.396083e-05	-5.440093e-20	-2.833352e-04	9.397632e-12	-3.931702e-08	-5.392150e-05	2.833352e-04	-2.909262e-04
8.619999999999987e+00	8.620000e+00	5.473000e-01	7.114901e+00	5.473000e-01	-8.620000e-17	8.620000e-19	5.473000e-20	-5.473000e-05	-5.473000e-05	-5.440093e-20	-2.866368e-04	9.497654e-12	-3.930692e-08	-5.469068e-05	2.866368e-04	-2.942230e-04
8.719999999999986e+00	8.720000e+00	5.549918e-01	7.214893e+00	5.549918e-01	-8.720000e-17	8.720000e-19	5.549918e-20	-5.549917e-05	-5.549917e-05	-5.551115e-20	-2.899383e-04	9.597674e-12	-3.929683e-08	-5.545986e-05	2.899383e-04	-2.975197e-04
8.819999999999986e+00	8.820000e+00	5.626835e-01	7.314885e+00	5.626835e-01	-8.820000e-17	8.820000e-19	5.626835e-20	-5.626835e-05	-5.626835e-05	-5.662137e-20	-2.932399e-04	9.697696e-12	-3.928673e-08	-5.622904e-05	2.932399e-04	-3.008164e-04
